name,title,disc
アザラシ,また生息数が増えてきてるんだ！,日本に住むゼニガタアザラシは2000年あたりに絶滅危惧種に指定されていましたが、最近では徐々に生息数が増えてきました。
アシカ,海岸や河川で暮らしているんだ！,"カリフォルニアアシカはアラスカ南東部からメキシコの中央部にかけて、生息しています。いつもは海岸などで暮らしています。
北大西洋では、河川でも暮らしています。橋や橋脚などの、人間が作った建物のまわりに集まって暮らしていくこともあります。"
カバ,すっごく強い顎をもってるよ！,"口は大きく発達しており、長い門歯と犬歯があります。顎の筋肉が発達しているので、大きな口は150度も開くことができます。犬歯も長くて大きくなります。犬歯はカバによっては50㎝以上になることもあり、上顎を突き抜けているカバもいるくらいです。
牙の役割は、相手を威嚇したり、ケンカの時に使います。"
カワウソ,水かきをもってるんだ！,"ユーラシアカワウソの尾は、平らで艶のある防水性のある毛皮で覆われています。
4本の足には水かきがついています。そのため泳ぎがとても得意です。水中で何時間も泳ぎまわることができます。ユーラシアカワウソは狩りが終わったあとも、坂を滑り降りたりして遊ぶことも大好きです。しかしユーラシアカワウソの毛皮を狙った狩りで、生息数がだんだん減ってきてしまっています。"
カンガルー,お母さんの袋の中が大好き！,"オオカンガルーの子どもは生まれた時、わずか１ｇしかありません。
しかし産まれてすぐ、お母さんカンガルーのお腹の袋に入って10ヶ月もの間そこで暮らします。そして1年半くらい経つと、１匹で暮らし始めます。野生での寿命は10年ほどと言われています。"
キリン,ながーい首の秘密はね！,"これだけ首がな長いので、骨もいっぱいあるのかな？と思いきや、実は人間と同じ７個しかないんです。
オスもメスもどっちも首が長いのですが、エサを食べる時にはオスが上、メスが下の方の木や枝を食べるようです。

また視力もすぐれていて、鼻や耳も発達しているので、遠くにあるエサを見つけたり、遠くの外敵を見つけていち早く逃げているそうです。"
ゴリラ,食べる物も体にいいんだよ！,"ニシゴリラは、葉や茎、果実、無脊椎動物(クモ・ダニなど)などを食べます。
ニシゴリラが食べる特定の食べ物には、薬のような働きがあるものが多く、ゴリラの健康に良い効果があると言われています。

動物園では、1日に30種類の野菜と、ヨーグルトを食べています。"
サイ,カラダは黒くないんだけどね！,"クロサイは身体が黒いわけではありません。シロサイと区別するためにクロサイとつけられています。
もちろんシロサイも白い身体をしているわけではなく、シロサイは口が横に大きいのでイギリス人が「ワイド」と言ったのを、「ホワイト」と聞き間違ったからだと言われています。
またクロサイは耳と鼻はすぐれていますが、視力があまりよくないといわれています。"
サル,サル団子とは？,"団子といっても食べる団子ではありません。
これはサルたちが身体をくっつけて丸まってる様子から「サル団子」とよばれています。
サルの仲間の多くは暖かい地域に暮らしていますが、ニホンザルは寒い地域で生活しています。そのため、家族や仲の良いサル同士がお互いの身体をくっつけて温めあっているようです。
寒さを凌ぐためにみんなで助け合ってるんです。"
シマウマ,縞がとってもハッキリしてるんだ！,"ハートマンシマウマはヤマシマウマの仲間ですが、首の下に垂れたような皮膚があります。
シマウマの特徴は、体の縞がはっきりしていて、幅が狭いのが特徴です。お腹にははっきりとした縞模様はありません。足のヒヅメにまで縞があります。耳は細長く、山の生活に適している固くて幅が狭いヒヅメを持っています。"
ゾウ,他のゾウとはちょっと違うんだよ！,"アジアゾウの鼻のしわはあまり盛り上がったりしません。鼻の先の上に突起が1つだけあります。
アフリカゾウとマルミミゾウは突起が上下に2つありますが、1つだけなのはアジアゾウだけです。また頭に2つのコブがあるのも、前足のひづめが5本、うしろ足には4本だけなのもアジアゾウだけです。"
トラ,森の中にすんでるよ！,"スマトラトラはインドネシアのスマトラ島の熱帯林で暮らしています。
そこで大きな縄張りを作ってで1頭で生活しています。

なぜ森の中で生活しているかというと、トラの模様と関係しています。トラのオレンジ色は暗いところでみると茶色に見えるので土や草の陰に隠れ、木の上にいる時には太陽の光や木陰に隠れて獲物を狙っているからです。"
パンダ,ジャイアントパンダは器用なんだ！,"ジャイアントパンダの前足は竹をつかむことができます。ジャイアントパンダはクマに体が似ていますが、クマは前足で物をつかむことはできません。
ジャイアントパンダは前足には５本の指の他にも、親指のような第６の指がついています。それともう１つ第７の指があり、７本の指を上手に使って人間のように物を掴むことができます。
そのおかげで、大好物の竹を食べることができるのです。
前足の爪はとてもとがっていて、木登りの時には木に爪をたてて登ることができます。
よく見ると丸くてしっかりした肉球もあります。
体がかゆくなると、後ろ足を使ってかきます。でも、背中やお尻には足が届かないので、木や丸太に背中やお尻をこすりつけてごしごしとダイナミックにかきます。"
ハシビロコウ,エサを捕るのが苦手です！,"大きなくちばしに、鋭い目つき！魚を捕まえるのがとっても上手なのかな？と思ってしまいますが、実はとっても苦手なようです。
ハシビロコウは鳥の中でも大きく目立ってしまいます。なのでエサの魚に気付かれないように1日中じっとしているのです。
そのため、体やくちばしに藻が生えてしまう事も。。。
ただし、近づいてきた魚を捕まえる時には大きな羽を広げて勢いよくガバーっと倒れ込むようにして捕まえに行きます！でも逃げられちゃう。上手く捕まえた時は、大きなくちばしで魚を丸呑みにします。"
フラミンゴ,とっても長生きなんだ！,"ベニイロフラミンゴは5月から8月に、白色の卵を1つ産みます。28日から32日の間に孵化しますが、その間ずっと親は卵を温めています。子どものフラミンゴが大きくなるまでは、6年程ありますが、親鳥であるオス・メスり両方が、子どもを守ります。
平均寿命は40年で、鳥の中でももっとも長く生きます。"
ペンギン,ペタペタ歩きにも理由があるよ！,"なんであんなに可愛らしくペタペタ歩いているのかな？
ちゃんと理由があります。実は体力を温存しながら長い距離を歩けるようにしているそうです。
ケープペンギンやフンボルトペンギンは雪や氷のない暖かいところに住んでいるけれども、他のペンギンは雪国で暮らしています。そこで、転んでしまわないように足の裏をしっかりと地面につけて小さな歩幅でペタペタ歩いているそうです。"
ホッキョクグマ,泳ぎが上手！,"身体が大きいのに頭が小さいホッキョクグマは前足がとても大きく、泳ぐことや水の中に潜ることがとても上手なんです。

夏には氷が少なくなってしまい、エサもなかなか捕れないのでじっとしていることが多いです

冬になると氷の上を移動したり、泳いだりしながらエサを探しに活発に活動します。"
